node,volatility,eign,closeness,betwness,centrality,community,density,name,type
816,0,2.505407101193672e-47,0.004098360655737705,0.0,1,48,1.0,"Munzner, T.",
1250,2,2.505407101193672e-47,0.004098360655737705,0.0,1,48,1.0,"Williams, M.",outandin
694,2,2.505407101193672e-47,0.004098360655737705,0.0,1,20,1.0,"Leuski, A.",outandin
22,2,2.505407101193672e-47,0.004098360655737705,0.0,1,20,1.0,"Allan, J.",outandin
1170,1,2.505407101193672e-47,0.004098360655737705,0.0,1,41,1.0,"Tory, M.",incoming
818,3,2.505407101193672e-47,0.004098360655737705,0.0,1,41,1.0,"M̦ller, T.",outandin
1297,2,2.505407101193672e-47,0.004098360655737705,0.0,1,16,1.0,"Yang-Pelaez, J.",outandin
345,2,2.505407101193672e-47,0.004098360655737705,0.0,1,16,1.0,"Flowers, W.C.",outandin
179,3,2.505407101193672e-47,0.004098360655737705,0.0,1,19,1.0,"Chen, B.",outandin
411,2,2.505407101193672e-47,0.004098360655737705,0.0,1,19,1.0,"Gossett, N.",outandin
131,1,2.505407101193672e-47,0.004098360655737705,0.0,1,50,1.0,"Brandes, U.",incoming
219,2,2.505407101193672e-47,0.004098360655737705,0.0,1,50,1.0,"Corman, S.R.",outandin
859,2,2.505407101193672e-47,0.004098360655737705,0.0,1,1,1.0,"Overbye, T.J.",outandin
1229,2,2.505407101193672e-47,0.004098360655737705,0.0,1,1,1.0,"Weber, J.D.",outandin
608,2,2.505407101193672e-47,0.004098360655737705,0.0,1,58,1.0,"Kennedy, J.",incoming
226,2,2.505407101193672e-47,0.004098360655737705,0.0,1,58,1.0,"Craig, P.",outandin
308,1,2.505407101193672e-47,0.004098360655737705,0.0,1,57,1.0,"Elmqvist, N.",incoming
1176,2,2.505407101193672e-47,0.004098360655737705,0.0,1,57,1.0,"Tsigas, P.",outandin
304,1,2.505407101193672e-47,0.004098360655737705,0.0,1,52,1.0,"Eick, S.G.",outgoing
604,1,2.505407101193672e-47,0.004098360655737705,0.0,1,52,1.0,"Keahey, T.A.",outgoing
665,2,2.505407101193672e-47,0.004098360655737705,0.0,1,4,1.0,"Lalanne, D.",outandin
921,2,2.505407101193672e-47,0.004098360655737705,0.0,1,4,1.0,"Pu, P.",outandin
139,1,2.505407101193672e-47,0.004098360655737705,0.0,1,56,1.0,"Brodbeck, D.",outgoing
395,2,2.505407101193672e-47,0.004098360655737705,0.0,1,56,1.0,"Girardin, L.",outandin
636,2,2.505407101193672e-47,0.004098360655737705,0.0,1,11,1.0,"Kobourov, S.G.",outandin
1213,2,2.505407101193672e-47,0.004098360655737705,0.0,1,11,1.0,"Wampler, K.",outandin
1134,1,2.505407101193672e-47,0.004098360655737705,0.0,1,10,1.0,"Tal, A.",
