Unnamed: 0,node,volatility,eign,closeness,betwness,centrality,community,density,name,type,period,type_ord,is_stable,type_cat
16,872,2,2.4296779891607328e-05,0.0204918032786885,0.0,5,4,1.0,"Paris, J.P.",outandin,2000-2004,0,0,outandin
17,153,2,2.615767064251886e-12,0.0163934426229508,0.0,4,5,1.0,"Buscher, M.",outandin,2000-2004,0,0,outandin
18,1048,2,2.615767064251886e-12,0.0163934426229508,0.0,4,5,1.0,"Shapiro, D.",outandin,2000-2004,0,0,outandin
19,198,2,2.615767064251886e-12,0.0163934426229508,0.0,4,5,1.0,"Christensen, M.",outandin,2000-2004,0,0,outandin
20,796,2,2.615767064251886e-12,0.0163934426229508,0.0,4,5,1.0,"Mogensen, P.",outandin,2000-2004,0,0,outandin
21,855,2,2.615767064251886e-12,0.0163934426229508,0.0,4,5,1.0,"Orbaek, P.",outandin,2000-2004,0,0,outandin
22,462,1,2.448611131685516e-25,0.0092213114754098,0.0,2,6,0.8333333333333334,"Hanrahan, P.",stable,2000-2004,2,1,stable
189,117,2,2.448611131685516e-25,0.0092213114754098,0.0,2,6,0.8333333333333334,"Bosche, R.",outandin,2000-2004,0,0,outandin
23,1104,1,3.1361233659220226e-25,0.0122950819672131,1.6865681710854754e-05,3,6,0.8333333333333334,"Stolte, C.",stable,2000-2004,2,1,stable
103,1141,2,3.1361233659220226e-25,0.0122950819672131,1.6865681710854754e-05,3,6,0.8333333333333334,"Tang, D.",outandin,2000-2004,0,0,outandin
25,1270,2,3.3398709564376043e-40,0.0054644808743169,0.0,1,7,0.6666666666666666,"Woodruff, A.",outandin,2000-2004,0,0,outandin
113,744,2,3.3398709564376043e-40,0.0054644808743169,0.0,1,7,0.6666666666666666,"Mackinlay, J.D.",stable,2000-2004,2,1,stable
24,853,2,4.723290803170061e-40,0.0081967213114754,3.373136342170951e-05,2,7,0.6666666666666666,"Olston, C.",outandin,2000-2004,0,0,outandin
28,730,2,2.4486111316855133e-25,0.0092213114754098,0.0,2,8,0.8333333333333334,"Lopez, N.",outandin,2000-2004,0,0,outandin
226,837,4,2.4486111316855133e-25,0.0092213114754098,0.0,2,8,0.8333333333333334,"Nocke, T.",outandin,2000-2004,0,0,outandin
26,1028,4,3.1361233659220203e-25,0.0122950819672131,1.6865681710854754e-05,3,8,0.8333333333333334,"Schumann, H.",outandin,2000-2004,0,0,outandin
27,650,2,3.1361233659220203e-25,0.0122950819672131,1.6865681710854754e-05,3,8,0.8333333333333334,"Kreuseler, M.",outandin,2000-2004,0,0,outandin
